L,h,T,E,C,FM,Xfm,AFM,Xafm
32,0,0.869000,-1.999184,0.008743,0.999794,0.000495,0.000004,0.000455
32,0,0.790000,-1.999659,0.004416,0.999914,0.000223,0.000000,0.000213
32,0,0.711000,-1.999895,0.001689,0.999974,0.000076,0.000000,0.000073
32,0,0.632000,-1.999975,0.000512,0.999994,0.000020,0.000000,0.000020
32,0,0.553000,-1.999995,0.000140,0.999999,0.000005,0.000000,0.000005
32,0,0.474000,-1.999999,0.000019,1.000000,0.000001,0.000000,0.000001
32,0,0.395000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.316000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.237000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.158000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.079000,-2.000000,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.632000,-1.999977,0.000490,0.999994,0.000019,0.000001,0.000019
32,0,0.553000,-1.999998,0.000101,0.999999,0.000003,0.000000,0.000003
32,0,0.474000,-2.000001,0.000011,1.000000,0.000000,0.000000,0.000000
32,0,0.395000,-2.000002,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.316000,-2.000002,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.237000,-2.000002,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.158000,-2.000002,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,0.079000,-2.000002,0.000000,1.000000,0.000000,0.000000,0.000000
32,0,1.264000,-1.983687,0.088026,0.995703,0.008439,0.000012,0.005679
32,0,1.185000,-1.989541,0.063228,0.997278,0.005413,0.000003,0.004000
32,0,1.106000,-1.993735,0.042711,0.998385,0.003289,0.000003,0.002618
32,0,1.027000,-1.996495,0.027553,0.999104,0.001917,0.000003,0.001618
32,0,0.948000,-1.998187,0.016587,0.999539,0.001041,0.000001,0.000917
32,0,0.869000,-1.999180,0.008879,0.999792,0.000500,0.000000,0.000461
32,0,0.790000,-1.999678,0.004168,0.999918,0.000212,0.000001,0.000201
32,0,0.711000,-1.999902,0.001585,0.999975,0.000072,0.000000,0.000070
32,0,1.896000,-1.812500,0.559167,0.939474,0.190769,0.000031,0.032997
32,0,1.817000,-1.851650,0.473168,0.954000,0.138398,0.000022,0.028489
32,0,1.738000,-1.885048,0.367222,0.965828,0.079439,0.000017,0.024076
32,0,1.659000,-1.911147,0.315639,0.974300,0.058096,0.000013,0.020282
32,0,1.580000,-1.933249,0.247071,0.981154,0.039217,0.000013,0.016494
32,0,1.501000,-1.951001,0.196034,0.986468,0.026866,0.000002,0.013169
32,0,1.422000,-1.964742,0.154191,0.990440,0.018636,0.000006,0.010311
32,0,1.343000,-1.975469,0.118849,0.993457,0.012718,0.000005,0.007798
32,0,2.528000,-1.083381,0.820124,0.010646,20.078964,0.000067,0.093224
32,0,2.449000,-1.157816,1.062978,0.026018,38.304199,0.000046,0.088327
32,0,2.370000,-1.252678,1.465845,0.050895,76.481545,0.000058,0.081687
32,0,2.291000,-1.384211,1.855967,0.245430,126.404455,0.000045,0.072611
32,0,2.212000,-1.534502,1.400722,0.716069,26.955587,0.000038,0.060915
32,0,2.133000,-1.628315,1.145433,0.845652,1.741481,0.000190,0.051582
32,0,2.054000,-1.703342,0.849443,0.891238,0.584283,0.000016,0.045348
32,0,1.975000,-1.760885,0.707210,0.917396,0.369426,0.000091,0.039610
32,0,3.160000,-0.758475,0.342396,0.000036,0.106990,0.001356,2.848791
32,0,3.081000,-0.786875,0.372273,0.000048,0.105858,0.001500,3.294725
32,0,3.002000,-0.815282,0.400822,0.000046,0.105086,0.002182,3.827854
32,0,2.923000,-0.849185,0.439470,0.000071,0.103648,0.002659,4.632607
32,0,2.844000,-0.886235,0.484297,0.000077,0.101926,0.002673,5.634353
32,0,2.765000,-0.926173,0.536409,0.000049,0.101188,0.004970,7.032206
32,0,2.686000,-0.971470,0.606515,0.000074,0.098772,0.004445,9.244983
32,0,2.607000,-1.021945,0.689002,0.000055,0.096636,0.006236,13.082856
32,0,3.792000,-0.594903,0.199251,0.000076,0.106580,0.000428,1.276060
32,0,3.713000,-0.611455,0.207758,0.000084,0.106836,0.000618,1.380539
32,0,3.634000,-0.628331,0.220771,0.000065,0.107228,0.001005,1.504290
32,0,3.555000,-0.646311,0.238036,0.000065,0.107153,0.001252,1.627739
32,0,3.476000,-0.665741,0.252605,0.000053,0.107439,0.000887,1.789299
32,0,3.397000,-0.686862,0.274167,0.000034,0.107408,0.000986,2.001802
32,0,3.318000,-0.709034,0.289992,0.000055,0.106632,0.001387,2.210089
32,0,3.239000,-0.732845,0.308139,0.000062,0.106355,0.001334,2.484030
32,0,4.424000,-0.493445,0.132499,0.000055,0.103745,0.000643,0.784368
32,0,4.345000,-0.504328,0.138832,0.000089,0.104858,0.000537,0.836602
32,0,4.266000,-0.515422,0.144887,0.000057,0.105102,0.000680,0.874187
32,0,4.187000,-0.527126,0.151095,0.000083,0.104369,0.000340,0.920279
32,0,4.108000,-0.539808,0.160126,0.000055,0.105709,0.000529,0.987272
32,0,4.029000,-0.552278,0.168912,0.000071,0.105526,0.000890,1.052020
32,0,3.950000,-0.566154,0.178195,0.000062,0.105949,0.000546,1.111949
32,0,3.871000,-0.580283,0.185842,0.000078,0.106088,0.000667,1.204529
32,0,5.056000,-0.422730,0.095599,0.000049,0.098854,0.000312,0.555492
32,0,4.977000,-0.430656,0.097844,0.000072,0.099900,0.000401,0.579281
32,0,4.898000,-0.438544,0.101847,0.000077,0.100158,0.000396,0.601485
32,0,4.819000,-0.446705,0.106631,0.000082,0.100987,0.000308,0.624852
32,0,4.740000,-0.455461,0.111070,0.000067,0.102825,0.000495,0.660547
32,0,4.661000,-0.464442,0.115118,0.000058,0.101124,0.000480,0.677289
32,0,4.582000,-0.473749,0.121621,0.000071,0.102665,0.000460,0.712229
32,0,4.503000,-0.483307,0.125584,0.000061,0.103160,0.000662,0.744767
32,0,0.632000,-1.999974,0.000517,0.000000,0.000021,0.999994,0.000020
32,0,0.553000,-1.999996,0.000098,0.000000,0.000003,0.999999,0.000003
32,0,0.474000,-2.000000,0.000008,0.000000,0.000000,1.000000,0.000000
32,0,0.395000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.316000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.237000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.158000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
32,0,0.079000,-2.000000,0.000000,0.000000,0.000000,1.000000,0.000000
